original_field_name,choice_value,export_field_name
diagnosis_cancer_surgery_date,,diagnosis_cancer_surgery_date
diagnosis_cancer_surgery_date_invasive,,diagnosis_cancer_surgery_date_invasive
diagnosis_reason_no_cancer_surgery,,diagnosis_reason_no_cancer_surgery
diagnosis_reason_no_radiation,,diagnosis_reason_no_radiation
diagnosis_radiation_first_date,,diagnosis_radiation_first_date
diagnosis_radiation_last_date,,diagnosis_radiation_last_date
diagnosis_radiation_modality,,diagnosis_radiation_modality
diagnosis_radiation_modality_boost,,diagnosis_radiation_modality_boost
diagnosis_radiation_location,,diagnosis_radiation_location
diagnosis_radiation_targeted_volume,,diagnosis_radiation_targeted_volume
diagnosis_radiation_sessions,,diagnosis_radiation_sessions
diagnosis_radiation_dose,,diagnosis_radiation_dose
diagnosis_radiation_dose_boost,,diagnosis_radiation_dose_boost
diagnosis_radiation_therapy_sequence,,diagnosis_radiation_therapy_sequence
diagnosis_systemic_treatment_start_date,,diagnosis_systemic_treatment_start_date
diagnosis_other_treatment_start_date,,diagnosis_other_treatment_start_date
diagnosis_chemo_type_all,,diagnosis_chemo_type_all
diagnosis_chemo_type_msk,,diagnosis_chemo_type_msk
diagnosis_hormone_type_all,,diagnosis_hormone_type_all
diagnosis_hormone_type_msk,,diagnosis_hormone_type_msk
diagnosis_immuno_type_all,,diagnosis_immuno_type_all
diagnosis_immuno_type_msk,,diagnosis_immuno_type_msk
diagnosis_other_treatment_all,,diagnosis_other_treatment_all
diagnosis_other_treatment_msk,,diagnosis_other_treatment_msk
diagnosis_palliative_procedure_all,,diagnosis_palliative_procedure_all
diagnosis_palliative_procedure_msk,,diagnosis_palliative_procedure_msk
diagnosis_systemic_procedure,,diagnosis_systemic_procedure
diagnosis_follow_up_method,,diagnosis_follow_up_method
diagnosis_last_contact_date,,diagnosis_last_contact_date
diagnosis_pathology_text,,diagnosis_pathology_text
diagnosis_surgery_text,,diagnosis_surgery_text
diagnosis_cs_tumor_size,,diagnosis_cs_tumor_size
diagnosis_cs_tumor_extension,,diagnosis_cs_tumor_extension
diagnosis_cs_tumor_size_extension_evaluation,,diagnosis_cs_tumor_size_extension_evaluation
diagnosis_cs_lymph_nodes,,diagnosis_cs_lymph_nodes
diagnosis_cs_lymph_nodes_evaluation,,diagnosis_cs_lymph_nodes_evaluation
diagnosis_cs_metastasis_sites,,diagnosis_cs_metastasis_sites
diagnosis_cs_metastasis_evaluation,,diagnosis_cs_metastasis_evaluation
diagnosis_ajcc_t,,diagnosis_ajcc_t
diagnosis_ajcc_n,,diagnosis_ajcc_n
diagnosis_ajcc_m,,diagnosis_ajcc_m
diagnosis_ajcc_t_descriptor,,diagnosis_ajcc_t_descriptor
diagnosis_ajcc_n_descriptor,,diagnosis_ajcc_n_descriptor
diagnosis_ajcc_m_descriptor,,diagnosis_ajcc_m_descriptor
diagnosis_ajcc_stage_group,,diagnosis_ajcc_stage_group
diagnosis_stage_comments,,diagnosis_stage_comments
diagnosis_stage_msk,,diagnosis_stage_msk
diagnosis_tumor_specimen_procurement,,diagnosis_tumor_specimen_procurement
diagnosis_surgery_therapy_sequence,,diagnosis_surgery_therapy_sequence
diagnosis_ambiguous,,diagnosis_ambiguous
diagnosis_tumor_multiplicity_count,,diagnosis_tumor_multiplicity_count
diagnosis_tumor_multiplicity_type,,diagnosis_tumor_multiplicity_type
diagnosis_tumor_conclusive_date,,diagnosis_tumor_conclusive_date
diagnosis_tumor_multiplicity_date,,diagnosis_tumor_multiplicity_date
diagnosis_patient_id,,diagnosis_patient_id
diagnosis_tumor_id,,diagnosis_tumor_id
diagnosis_ssf1,,diagnosis_ssf1
diagnosis_ssf2,,diagnosis_ssf2
diagnosis_ssf3,,diagnosis_ssf3
diagnosis_ssf4,,diagnosis_ssf4
diagnosis_ssf5,,diagnosis_ssf5
diagnosis_ssf6,,diagnosis_ssf6
diagnosis_ssf7,,diagnosis_ssf7
diagnosis_ssf8,,diagnosis_ssf8
diagnosis_ssf9,,diagnosis_ssf9
diagnosis_ssf10,,diagnosis_ssf10
diagnosis_ssf11,,diagnosis_ssf11
diagnosis_ssf12,,diagnosis_ssf12
diagnosis_ssf13,,diagnosis_ssf13
diagnosis_ssf14,,diagnosis_ssf14
diagnosis_ssf15,,diagnosis_ssf15
diagnosis_ssf16,,diagnosis_ssf16
diagnosis_ssf17,,diagnosis_ssf17
diagnosis_ssf18,,diagnosis_ssf18
diagnosis_ssf19,,diagnosis_ssf19
diagnosis_ssf20,,diagnosis_ssf20
diagnosis_ssf21,,diagnosis_ssf21
diagnosis_ssf22,,diagnosis_ssf22
diagnosis_ssf23,,diagnosis_ssf23
diagnosis_ssf24,,diagnosis_ssf24
diagnosis_ssf25,,diagnosis_ssf25
diagnosis_cs_metastasis_bone_at_dx,,diagnosis_cs_metastasis_bone_at_dx
diagnosis_cs_metastasis_brain_at_dx,,diagnosis_cs_metastasis_brain_at_dx
diagnosis_cs_metastasis_liver_at_dx,,diagnosis_cs_metastasis_liver_at_dx
diagnosis_cs_metastasis_lung_at_dx,,diagnosis_cs_metastasis_lung_at_dx
diagnosis_lymph_vascular_invasion,,diagnosis_lymph_vascular_invasion
diagnosis_grade_pathology_value,,diagnosis_grade_pathology_value
diagnosis_grade_pathology_system,,diagnosis_grade_pathology_system
diagnosis_chemo_start_date,,diagnosis_chemo_start_date
diagnosis_hormone_start_date,,diagnosis_hormone_start_date
diagnosis_immuno_start_date,,diagnosis_immuno_start_date
diagnosis_reason_no_chemo,,diagnosis_reason_no_chemo
diagnosis_reason_no_hormone,,diagnosis_reason_no_hormone
diagnosis_reason_no_immuno,,diagnosis_reason_no_immuno
diagnosis_reason_no_hte,,diagnosis_reason_no_hte
diagnosis_reason_no_other,,diagnosis_reason_no_other
diagnosis_ssf1_date,,diagnosis_ssf1_date
diagnosis_ssf2_date,,diagnosis_ssf2_date
diagnosis_ssf8_date,,diagnosis_ssf8_date
diagnosis_clinical_stage_date,,diagnosis_clinical_stage_date
diagnosis_lost_to_followup_date,,diagnosis_lost_to_followup_date
diagnosis_icd10,,diagnosis_icd10
diagnosis_surgical_approach_msk,,diagnosis_surgical_approach_msk
diagnosis_metastasis_distant_lymph_nodes_at_dx,,diagnosis_metastasis_distant_lymph_nodes_at_dx
diagnosis_metastasis_other_at_dx,,diagnosis_metastasis_other_at_dx
diagnosis_clinical_tumor_size,,diagnosis_clinical_tumor_size
diagnosis_pathology_tumor_size,,diagnosis_pathology_tumor_size
diagnosis_surgery_tumor_size,,diagnosis_surgery_tumor_size
diagnosis_eod_m,,diagnosis_eod_m
diagnosis_eod_n,,diagnosis_eod_n
diagnosis_eod_t,,diagnosis_eod_t
diagnosis_eod_ss2018,,diagnosis_eod_ss2018
diagnosis_ajcc_id,,diagnosis_ajcc_id
diagnosis_post_rx_m,,diagnosis_post_rx_m
diagnosis_post_rx_n,,diagnosis_post_rx_n
diagnosis_post_rx_t,,diagnosis_post_rx_t
diagnosis_post_rx_stage_group,,diagnosis_post_rx_stage_group
diagnosis_ajcc_clinical_tnm_t,,diagnosis_ajcc_clinical_tnm_t
diagnosis_ajcc_pathology_tnm_t,,diagnosis_ajcc_pathology_tnm_t
diagnosis_ajcc_post_rx_tnm_t,,diagnosis_ajcc_post_rx_tnm_t
diagnosis_ajcc_clinical_tnm_n,,diagnosis_ajcc_clinical_tnm_n
diagnosis_ajcc_pathology_tnm_n,,diagnosis_ajcc_pathology_tnm_n
diagnosis_ajcc_post_rx_tnm_n,,diagnosis_ajcc_post_rx_tnm_n
diagnosis_ca125_interpretation,,diagnosis_ca125_interpretation
diagnosis_cea_interpretation,,diagnosis_cea_interpretation
diagnosis_cea_level,,diagnosis_cea_level
diagnosis_tumor_grade_pre_resection_pre_therapy,,diagnosis_tumor_grade_pre_resection_pre_therapy
diagnosis_tumor_grade_post_resection_pre_therapy,,diagnosis_tumor_grade_post_resection_pre_therapy
diagnosis_tumor_grade_post_resection_post_therapy,,diagnosis_tumor_grade_post_resection_post_therapy
diagnosis_hiv_status,,diagnosis_hiv_status
diagnoses_complete,,diagnoses_complete
measure_date,,measure_date
measure_height,,measure_height
measure_weight,,measure_weight
measure_bmi,,measure_bmi
measure_bsa,,measure_bsa
measures_complete,,measures_complete
laboratory_test_date,,laboratory_test_date
laboratory_test_guid,,laboratory_test_guid
laboratory_test_accession_number,,laboratory_test_accession_number
laboratory_test_cluster,,laboratory_test_cluster
laboratory_test_name,,laboratory_test_name
laboratory_test_subname,,laboratory_test_subname
laboratory_test_biomarker_level,,laboratory_test_biomarker_level
laboratory_test_biomarker_units,,laboratory_test_biomarker_units
laboratory_test_type,,laboratory_test_type
laboratory_test_status,,laboratory_test_status
laboratory_test_abnormality,,laboratory_test_abnormality
laboratory_test_upper_limit,,laboratory_test_upper_limit
laboratory_test_lower_limit,,laboratory_test_lower_limit
laboratory_tests_complete,,laboratory_tests_complete
surgery_consult_date,,surgery_consult_date
surgery_preoperative_diagnosis,,surgery_preoperative_diagnosis
surgeon_name,,surgeon_name
surgery_ra_name,,surgery_ra_name
surgery_date,,surgery_date
surgery_time,,surgery_time
surgery_duration,,surgery_duration
surgery_location,,surgery_location
surgery_type,,surgery_type
surgery_staging,,surgery_staging
surgery_maximal_effort,,surgery_maximal_effort
surgery_resectability_score,,surgery_resectability_score
surgery_debulking_template_completion,,surgery_debulking_template_completion
surgery_residual_disease,,surgery_residual_disease
surgery_comments,,surgery_comments
surgeries_complete,,surgeries_complete
treatment_administration_route,,treatment_administration_route
treatment_setting,,treatment_setting
treatment_indication_neoadjuvant,,treatment_indication_neoadjuvant
treatment_start_date,,treatment_start_date
treatment_end_date,,treatment_end_date
treatment_cycle,,treatment_cycle
treatment_location,,treatment_location
treatment_drug_name,,treatment_drug_name
treatment_generic_name,,treatment_generic_name
treatment_drug_name_other,,treatment_drug_name_other
treatment_dose_value,,treatment_dose_value
treatment_dose_unit,,treatment_dose_unit
treatment_dose_difference,,treatment_dose_difference
treatment_duration,,treatment_duration
treatment_order_set,,treatment_order_set
treatment_prescribed_dose,,treatment_prescribed_dose
treatment_dispense_count,,treatment_dispense_count
treatment_quantity,,treatment_quantity
treatment_status,,treatment_status
treatment_termination_indication,,treatment_termination_indication
treatments_complete,,treatments_complete
relapse_date,,relapse_date
relapse_procedure,1,relapse_procedure___1
relapse_procedure,2,relapse_procedure___2
relapse_procedure,3,relapse_procedure___3
relapse_procedure,4,relapse_procedure___4
relapses_complete,,relapses_complete
specimen_ra_name,,specimen_ra_name
specimen_collection,,specimen_collection
specimen_source,,specimen_source
specimen_collection_date,,specimen_collection_date
specimen_collection_time,,specimen_collection_time
specimen_id,,specimen_id
specimen_class,,specimen_class
specimen_subclass,,specimen_subclass
specimen_treatment_status,,specimen_treatment_status
specimen_site,,specimen_site
specimen_site_adnexa,,specimen_site_adnexa
specimen_site_upper_quadrant,,specimen_site_upper_quadrant
specimen_site_comments,,specimen_site_comments
specimen_intraoperative_biopsy,,specimen_intraoperative_biopsy
specimen_preoperative_imaging,,specimen_preoperative_imaging
specimen_malignant_status,,specimen_malignant_status
specimen_type,,specimen_type
specimen_subtype,,specimen_subtype
specimen_organ_metastasis,,specimen_organ_metastasis
specimen_ischemia_time,,specimen_ischemia_time
specimen_size,,specimen_size
specimen_volume,,specimen_volume
specimen_processing_date,,specimen_processing_date
specimen_processing_time,,specimen_processing_time
specimen_dissociation_temperature,,specimen_dissociation_temperature
specimen_dissociation_time,,specimen_dissociation_time
specimen_cell_count,,specimen_cell_count
specimen_cell_viability,,specimen_cell_viability
specimens_complete,,specimens_complete
specimen_imf_accession_id,,specimen_imf_accession_id
specimen_imf_part_id,,specimen_imf_part_id
specimen_imf_protocol_description,,specimen_imf_protocol_description
specimen_imf_part_seq_id,,specimen_imf_part_seq_id
specimen_imf_visit,,specimen_imf_visit
specimen_imf_notes,,specimen_imf_notes
specimen_imf_sample_received_id,,specimen_imf_sample_received_id
specimen_imf_tube_type,,specimen_imf_tube_type
specimen_imf_tube_type_description,,specimen_imf_tube_type_description
specimen_imf_tube_number,,specimen_imf_tube_number
specimen_imf_collection_datetime,,specimen_imf_collection_datetime
specimen_imf_received_datetime,,specimen_imf_received_datetime
aliquot_imf_received_by_user,,aliquot_imf_received_by_user
aliquot_imf_received_by_name,,aliquot_imf_received_by_name
aliquot_imf_product_id,,aliquot_imf_product_id
aliquot_imf_product_type,,aliquot_imf_product_type
aliquot_imf_product_type_description,,aliquot_imf_product_type_description
aliquot_imf_total_volume,,aliquot_imf_total_volume
aliquot_imf_total_volume_unit,,aliquot_imf_total_volume_unit
aliquot_imf_viable_cells,,aliquot_imf_viable_cells
aliquot_imf_viablility,,aliquot_imf_viablility
aliquot_imf_total_cell_number,,aliquot_imf_total_cell_number
specimen_imf_total_viable_cells_original,,specimen_imf_total_viable_cells_original
specimen_imf_total_cell_number_original,,specimen_imf_total_cell_number_original
specimen_imf_product_dtl_id,,specimen_imf_product_dtl_id
aliquot_imf_checkin_date,,aliquot_imf_checkin_date
aliquot_imf_checkin_person,,aliquot_imf_checkin_person
specimen_imf_cell_number,,specimen_imf_cell_number
specimen_imf_volume,,specimen_imf_volume
specimen_imf_volume_unit,,specimen_imf_volume_unit
specimen_imf_tank_slot_id,,specimen_imf_tank_slot_id
specimen_imf_vial_number,,specimen_imf_vial_number
aliquot_imf_checkout_id,,aliquot_imf_checkout_id
aliquot_imf_checkout_date,,aliquot_imf_checkout_date
aliquot_imf_checkout_person,,aliquot_imf_checkout_person
aliquot_imf_checkout_volume,,aliquot_imf_checkout_volume
aliquot_imf_checkout_requester,,aliquot_imf_checkout_requester
aliquot_imf_checkout_purpose,,aliquot_imf_checkout_purpose
specimens_imf_complete,,specimens_imf_complete
specimen_lab_medicine_id,,specimen_lab_medicine_id
specimen_lab_medicine_accession_number,,specimen_lab_medicine_accession_number
specimen_lab_medicine_barcode,,specimen_lab_medicine_barcode
specimen_lab_medicine_irb,,specimen_lab_medicine_irb
specimen_lab_medicine_investigator_name,,specimen_lab_medicine_investigator_name
specimen_lab_medicine_collection_date,,specimen_lab_medicine_collection_date
specimen_lab_medicine_status,,specimen_lab_medicine_status
specimen_lab_medicine_creation_date,,specimen_lab_medicine_creation_date
specimen_lab_medicine_modification_date,,specimen_lab_medicine_modification_date
specimen_lab_medicine_davinci_process_date,,specimen_lab_medicine_davinci_process_date
specimens_lab_medicine_complete,,specimens_lab_medicine_complete
specimen_ppbc_procurement_date,,specimen_ppbc_procurement_date
specimen_ppbc_resection_datetime,,specimen_ppbc_resection_datetime
specimen_ppbc_accession_number,,specimen_ppbc_accession_number
specimen_ppbc_part_number,,specimen_ppbc_part_number
specimen_ppbc_subpart_number,,specimen_ppbc_subpart_number
specimen_ppbc_class,,specimen_ppbc_class
specimen_ppbc_site,,specimen_ppbc_site
specimen_ppbc_subsite,,specimen_ppbc_subsite
specimen_ppbc_subsite2,,specimen_ppbc_subsite2
specimen_ppbc_type,,specimen_ppbc_type
aliquot_ppbc_preservation,,aliquot_ppbc_preservation
specimen_ppbc_reserved_request_id,,specimen_ppbc_reserved_request_id
aliquot_ppbc_distribution_datetime,,aliquot_ppbc_distribution_datetime
aliquot_ppbc_request_id,,aliquot_ppbc_request_id
specimens_ppbc_complete,,specimens_ppbc_complete
specimen_scs_site,,specimen_scs_site
specimen_scs_cell_count,,specimen_scs_cell_count
specimen_scs_volume,,specimen_scs_volume
specimen_scs_viability,,specimen_scs_viability
specimen_scs_sorting,,specimen_scs_sorting
specimens_scs_complete,,specimens_scs_complete
specimen_id_fk,,specimen_id_fk
aliquot_id,,aliquot_id
aliquot_igo_id,,aliquot_igo_id
aliquot_barcode_id,,aliquot_barcode_id
aliquot_isabl_id,,aliquot_isabl_id
aliquot_flow_sorting,,aliquot_flow_sorting
aliquot_preservation,,aliquot_preservation
aliquot_storage_location,,aliquot_storage_location
aliquot_freezer_id,,aliquot_freezer_id
aliquot_storage_box_id,,aliquot_storage_box_id
aliquot_storage_box_location_row_id,,aliquot_storage_box_location_row_id
aliquot_storage_box_location_column_id,,aliquot_storage_box_location_column_id
aliquot_freeze_thaw_cycle,,aliquot_freeze_thaw_cycle
aliquot_sequencing_submission,,aliquot_sequencing_submission
aliquot_sequencing_request,,aliquot_sequencing_request
aliquots_complete,,aliquots_complete
scdna_facility,,scdna_facility
scdna_technology,,scdna_technology
scdna_sample_spot_date,,scdna_sample_spot_date
scdna_sample_prep_date,,scdna_sample_prep_date
scdna_library_prep_kit,,scdna_library_prep_kit
scdna_presoak_time,,scdna_presoak_time
scdna_stain,,scdna_stain
scdna_protease_concentration,,scdna_protease_concentration
scdna_library_prep_lysis_buffer,,scdna_library_prep_lysis_buffer
scdna_library_prep_lysis_time,,scdna_library_prep_lysis_time
scdna_library_prep_pcr_cycles,,scdna_library_prep_pcr_cycles
scdna_tag,,scdna_tag
scdna_sequencing_submission_date,,scdna_sequencing_submission_date
scdna_sequencer_model,,scdna_sequencer_model
scdna_sequencing_kit,,scdna_sequencing_kit
scdna_sequencing_status,,scdna_sequencing_status
scdna_accession_number,,scdna_accession_number
scdna_file_path,,scdna_file_path
sequencing_singlecell_dna_complete,,sequencing_singlecell_dna_complete
bulkdna_facility,,bulkdna_facility
bulkdna_sequencing_sample_prep_date,,bulkdna_sequencing_sample_prep_date
bulkdna_sequencing_submission_date,,bulkdna_sequencing_submission_date
bulkdna_sequencer_model,,bulkdna_sequencer_model
bulkdna_sequencing_kit,,bulkdna_sequencing_kit
bulkdna_sequencing_status,,bulkdna_sequencing_status
bulkdna_accession_number,,bulkdna_accession_number
bulkdna_file_path,,bulkdna_file_path
sequencing_bulk_dna_complete,,sequencing_bulk_dna_complete
cfdna_sample_prep_date,,cfdna_sample_prep_date
cfdna_accession_number,,cfdna_accession_number
cfdna_total_yield,,cfdna_total_yield
cfdna_technology,,cfdna_technology
cfdna_fragment_size_selection,,cfdna_fragment_size_selection
cfdna_fragment_size_selection_kit,,cfdna_fragment_size_selection_kit
cfdna_sequencing_submission_date,,cfdna_sequencing_submission_date
cfdna_sequencer_model,,cfdna_sequencer_model
cfdna_sequencing_status,,cfdna_sequencing_status
cfdna_file_path,,cfdna_file_path
sequencing_cfdna_complete,,sequencing_cfdna_complete
scrna_technology,,scrna_technology
scrna_sample_prep_date,,scrna_sample_prep_date
scrna_library_prep_kit,,scrna_library_prep_kit
scrna_sequencing_kit,,scrna_sequencing_kit
sequencing_kit_version,,sequencing_kit_version
scrna_average_size,,scrna_average_size
scrna_igo_recommendation,,scrna_igo_recommendation
scrna_igo_comments,,scrna_igo_comments
scrna_sequencing_submission_date,,scrna_sequencing_submission_date
scrna_sequencer_model,,scrna_sequencer_model
scrna_sequencing_status,,scrna_sequencing_status
scrna_accession_number,,scrna_accession_number
scrna_file_path,,scrna_file_path
sequencing_singlecell_rna_complete,,sequencing_singlecell_rna_complete
bulkrna_sample_prep_date,,bulkrna_sample_prep_date
bulkrna_file_path,,bulkrna_file_path
sequencing_bulk_rna_complete,,sequencing_bulk_rna_complete
scatac_sample_prep_date,,scatac_sample_prep_date
scatac_file_path,,scatac_file_path
sequencing_singlecell_atac_complete,,sequencing_singlecell_atac_complete
tcr_sample_prep_date,,tcr_sample_prep_date
tcr_file_path,,tcr_file_path
sequencing_singlecell_tcr_complete,,sequencing_singlecell_tcr_complete
impact_sample_prep_date,,impact_sample_prep_date
impact_sequencing_submission_date,,impact_sequencing_submission_date
impact_sequencing_status,,impact_sequencing_status
impact_accession_number,,impact_accession_number
impact_dmp_patient_id,,impact_dmp_patient_id
impact_dmp_sample_id,,impact_dmp_sample_id
impact_dmp_mirror_id,,impact_dmp_mirror_id
impact_gene_panel,,impact_gene_panel
impact_tumor_type_name,,impact_tumor_type_name
impact_tumor_type_code,,impact_tumor_type_code
impact_primary_site,,impact_primary_site
impact_metastasis_site,,impact_metastasis_site
impact_part_description,,impact_part_description
impact_dmp_report_date,,impact_dmp_report_date
impact_dmp_report,,impact_dmp_report
impact_dmp_report_deidentified,,impact_dmp_report_deidentified
impact_file_path,,impact_file_path
sequencing_msk_impact_complete,,sequencing_msk_impact_complete
he_pathologist_name,,he_pathologist_name
he_pathology_acquisition_date,,he_pathology_acquisition_date
he_pathology_acquisition_time,,he_pathology_acquisition_time
he_pathology_acquisition_location,,he_pathology_acquisition_location
he_pathology_accession_number,,he_pathology_accession_number
he_pathology_section_type,,he_pathology_section_type
he_pathology_staining_dye,1,he_pathology_staining_dye___1
he_pathology_staining_dye,2,he_pathology_staining_dye___2
he_pathology_slide_id,,he_pathology_slide_id
he_pathology_scan_device,,he_pathology_scan_device
he_pathology_scan_resolution,,he_pathology_scan_resolution
he_pathology_tumor_stage,,he_pathology_tumor_stage
he_pathology_tumor_grade,,he_pathology_tumor_grade
he_pathology_stic_presence,,he_pathology_stic_presence
he_pathology_stic_location,,he_pathology_stic_location
he_pathology_fimbrial_ball,,he_pathology_fimbrial_ball
he_pathology_til_score,,he_pathology_til_score
he_pathology_set_architecture,,he_pathology_set_architecture
he_pathology_extensive_micropapillary_architecture,,he_pathology_extensive_micropapillary_architecture
he_pathology_nodular_metastatic_pattern,,he_pathology_nodular_metastatic_pattern
he_pathology_chemotherapy_response_score,,he_pathology_chemotherapy_response_score
he_pathology_mitotic_index,,he_pathology_mitotic_index
he_pathology_report_date,,he_pathology_report_date
he_pathology_report_type,,he_pathology_report_type
he_pathology_report_description,,he_pathology_report_description
he_pathology_order_name,,he_pathology_order_name
he_pathology_order_service,,he_pathology_order_service
he_pathology_order_service_name,,he_pathology_order_service_name
he_pathology_report,,he_pathology_report
he_pathology_report_deidentified,,he_pathology_report_deidentified
he_pathology_file_path,,he_pathology_file_path
pathology_he_complete,,pathology_he_complete
mpif_pathology_acquisition_date,,mpif_pathology_acquisition_date
mpif_pathology_acquisition_time,,mpif_pathology_acquisition_time
